Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Mahindra Thar,21.45,20.0,4,Sedan,Electric,Manual,Used,Family,Silver,Not Recommended
Mahindra Bolero,25.28,22.4,4,SUV,Diesel,Manual,Used,Family,Silver,Recommended
Kia Seltos,21.98,19.2,7,Sedan,Diesel,Automatic,Used,Family,Blue,Not Recommended
Mahindra XUV300,28.73,16.1,5,Sedan,Electric,Manual,New,Family,Black,Not Recommended
Kia Sonet,7.0,15.8,5,SUV,Electric,Manual,Used,Family,Blue,Not Recommended
Tata Altroz,24.45,11.1,7,Hatchback,Diesel,Automatic,Used,Family,Blue,Recommended
Tata Tiago,8.16,15.4,7,SUV,Electric,Automatic,Used,Family,Black,Recommended
Honda Civic,39.35,24.5,6,SUV,Electric,Manual,New,Family,Red,Recommended
Toyota Glanza,14.65,22.8,4,Hatchback,Electric,Manual,Used,Family,Silver,Not Recommended
Hyundai Verna,36.92,10.1,4,SUV,Diesel,Manual,New,Family,Red,Recommended
Tata Safari,29.54,14.4,7,SUV,Diesel,Automatic,Used,Family,Red,Recommended
Honda Jazz,38.36,12.9,6,Hatchback,Diesel,Manual,New,Family,Blue,Not Recommended
Maruti Alto,41.7,13.2,4,Sedan,Petrol,Manual,New,Family,Black,Not Recommended
Mahindra XUV300,30.4,17.6,7,Hatchback,Diesel,Automatic,New,Family,White,Not Recommended
Kia Carens,37.04,13.0,6,Hatchback,Diesel,Automatic,New,Family,White,Recommended
Toyota Innova,19.71,24.0,4,Sedan,Petrol,Automatic,Used,Family,Black,Recommended
Hyundai Aura,21.21,10.2,7,SUV,Electric,Manual,New,Family,Blue,Recommended
Hyundai Elantra,32.49,11.6,6,SUV,Petrol,Automatic,Used,Family,Black,Not Recommended
Tata Safari,7.28,17.6,5,SUV,Diesel,Manual,New,Family,Silver,Not Recommended
Honda City,19.28,23.2,5,SUV,Electric,Automatic,New,Family,Red,Recommended
Mahindra Bolero,35.76,13.3,5,SUV,Petrol,Manual,New,Family,Blue,Recommended
Kia Sonet,5.5,21.3,6,Hatchback,Petrol,Manual,New,Family,Red,Recommended
Tata Tiago,10.1,24.1,6,SUV,Petrol,Manual,Used,Family,White,Not Recommended
Maruti Swift,31.55,23.1,6,Sedan,Electric,Automatic,New,Family,Silver,Not Recommended
Hyundai i20,32.51,23.0,5,SUV,Electric,Manual,Used,Family,Black,Not Recommended
Maruti Dzire,11.11,11.7,7,Hatchback,Petrol,Automatic,Used,Family,Blue,Recommended
Tata Altroz,7.51,21.8,7,Sedan,Diesel,Manual,New,Family,Red,Not Recommended
Maruti Baleno,19.57,24.7,7,SUV,Diesel,Manual,Used,Family,Red,Not Recommended
Mahindra Scorpio,14.65,16.4,4,Hatchback,Diesel,Automatic,Used,Family,Black,Recommended
Tata Harrier,12.69,24.3,6,SUV,Electric,Automatic,Used,Family,Red,Not Recommended
Honda WR-V,29.02,22.4,6,Hatchback,Diesel,Automatic,Used,Family,Black,Recommended
Hyundai i20,37.07,14.1,6,SUV,Petrol,Manual,Used,Family,Black,Recommended
Mahindra Bolero,8.5,20.6,4,Sedan,Petrol,Automatic,New,Family,Blue,Not Recommended
Tata Altroz,32.97,15.1,6,Hatchback,Electric,Automatic,New,Family,Blue,Recommended
Tata Nexon,9.61,11.0,7,Sedan,Diesel,Manual,New,Family,White,Recommended
Toyota Innova,14.95,17.1,6,Hatchback,Electric,Automatic,New,Family,Black,Not Recommended
Tata Tigor,14.2,10.4,4,Hatchback,Electric,Automatic,New,Family,Blue,Not Recommended
Hyundai Verna,42.21,14.6,6,SUV,Petrol,Manual,Used,Family,Blue,Not Recommended
Maruti Alto,20.35,10.1,6,Hatchback,Electric,Automatic,Used,Family,Red,Recommended
Maruti Alto,38.04,22.0,5,SUV,Electric,Automatic,Used,Family,Black,Recommended
Tata Hexa,22.61,20.3,7,Hatchback,Petrol,Automatic,Used,Family,Silver,Not Recommended
Tata Punch,44.76,15.4,4,SUV,Electric,Manual,Used,Family,Black,Not Recommended
Tata Punch,18.58,18.8,4,Hatchback,Diesel,Automatic,Used,Family,Blue,Not Recommended
Tata Nexon,15.84,18.6,6,Sedan,Electric,Manual,New,Family,Blue,Recommended
Maruti Alto,29.4,18.7,7,SUV,Petrol,Manual,New,Family,Blue,Not Recommended
Hyundai Aura,36.26,18.2,7,Sedan,Diesel,Manual,New,Family,Black,Recommended
Kia Carens,7.57,19.5,7,Sedan,Diesel,Automatic,New,Family,White,Recommended
Kia Sonet,44.23,11.0,5,SUV,Diesel,Manual,New,Family,Red,Recommended
Toyota Fortuner,20.68,10.6,5,SUV,Petrol,Automatic,Used,Family,White,Recommended
Mahindra Thar,40.82,22.7,7,SUV,Petrol,Automatic,New,Family,Blue,Not Recommended
Honda Jazz,33.96,14.7,5,Hatchback,Petrol,Automatic,New,Family,Black,Not Recommended
Maruti WagonR,11.42,22.7,5,Sedan,Petrol,Manual,Used,Family,White,Not Recommended
Hyundai Aura,21.21,10.2,7,SUV,Electric,Manual,New,Family,Blue,Recommended
Kia Seltos,17.31,24.4,4,Sedan,Electric,Automatic,Used,Family,Red,Not Recommended
Maruti Alto,38.43,11.2,7,Hatchback,Petrol,Manual,Used,Family,Silver,Recommended
Hyundai Aura,43.17,16.9,7,SUV,Electric,Automatic,New,Family,Black,Not Recommended
Maruti Brezza,12.74,23.5,5,SUV,Diesel,Manual,Used,Family,Red,Recommended
Maruti Dzire,5.33,22.5,7,Sedan,Petrol,Automatic,New,Family,Black,Not Recommended
Honda Jazz,15.24,14.1,4,SUV,Petrol,Automatic,Used,Family,Blue,Recommended
Kia Seltos,11.98,18.2,4,SUV,Electric,Automatic,New,Family,Red,Not Recommended
