Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Kia Carens,4.92,11.4,5,Sedan,Diesel,Automatic,New,Luxury,White,Recommended
Honda CR-V,43.97,11.7,7,SUV,Electric,Manual,New,Luxury,Red,Not Recommended
Mahindra XUV300,40.93,23.5,7,Hatchback,Diesel,Manual,New,Luxury,Black,Not Recommended
Maruti Dzire,11.11,11.7,7,Hatchback,Petrol,Automatic,Used,Luxury,Blue,Recommended
Hyundai i20,29.36,11.5,7,Hatchback,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Tata Harrier,10.54,20.7,5,SUV,Diesel,Manual,Used,Luxury,Black,Recommended
Mahindra Thar,9.38,11.0,4,SUV,Diesel,Automatic,New,Luxury,Silver,Not Recommended
Honda Jazz,15.77,14.9,5,SUV,Diesel,Automatic,New,Luxury,Black,Not Recommended
Maruti Brezza,11.32,16.9,4,SUV,Diesel,Automatic,Used,Luxury,Silver,Not Recommended
Hyundai Tucson,12.24,11.3,5,Sedan,Petrol,Manual,Used,Luxury,White,Recommended
Hyundai Creta,43.7,11.2,7,Hatchback,Petrol,Automatic,New,Luxury,Silver,Not Recommended
Kia Carnival,43.48,11.3,4,Hatchback,Electric,Manual,Used,Luxury,Red,Recommended
Hyundai Elantra,13.51,11.8,5,Sedan,Diesel,Automatic,Used,Luxury,White,Not Recommended
Maruti Dzire,7.16,19.1,4,Sedan,Electric,Automatic,Used,Luxury,Black,Not Recommended
Tata Harrier,6.75,14.3,4,Hatchback,Electric,Manual,Used,Luxury,Black,Recommended
Hyundai i20,32.51,23.0,5,SUV,Electric,Manual,Used,Luxury,Black,Not Recommended
Hyundai Elantra,15.22,14.4,5,SUV,Electric,Manual,Used,Luxury,Black,Not Recommended
Toyota Glanza,14.65,12.2,5,Hatchback,Electric,Automatic,New,Luxury,Silver,Recommended
Maruti Dzire,25.31,12.1,4,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Recommended
Tata Nexon,28.29,22.9,5,Hatchback,Electric,Automatic,New,Luxury,Silver,Not Recommended
Tata Nexon,16.6,24.4,6,Sedan,Electric,Manual,New,Luxury,Silver,Not Recommended
Honda Jazz,16.16,24.4,7,Hatchback,Electric,Manual,Used,Luxury,Blue,Recommended
Tata Altroz,44.79,14.5,5,Sedan,Electric,Manual,Used,Luxury,Silver,Not Recommended
Tata Nexon,22.84,11.1,4,Sedan,Diesel,Automatic,New,Luxury,White,Recommended
Honda WR-V,39.61,21.9,4,Hatchback,Petrol,Automatic,New,Luxury,White,Not Recommended
Honda CR-V,40.44,22.1,5,SUV,Electric,Manual,New,Luxury,Red,Recommended
Tata Hexa,31.26,10.1,4,Sedan,Diesel,Automatic,New,Luxury,White,Recommended
Hyundai i20,18.01,15.5,6,SUV,Electric,Manual,New,Luxury,Red,Not Recommended
Toyota Fortuner,20.68,10.6,5,SUV,Petrol,Automatic,Used,Luxury,White,Recommended
Honda Jazz,11.24,21.9,5,Sedan,Diesel,Manual,New,Luxury,White,Not Recommended
Toyota Innova,12.81,17.8,4,Sedan,Electric,Automatic,Used,Luxury,Red,Recommended
Hyundai Grand i10,21.73,11.4,6,Sedan,Diesel,Automatic,New,Luxury,Blue,Not Recommended
Hyundai Elantra,29.05,17.8,7,Hatchback,Petrol,Manual,Used,Luxury,Silver,Recommended
Kia Carnival,36.82,10.1,5,Sedan,Diesel,Manual,Used,Luxury,White,Not Recommended
Toyota Fortuner,30.76,10.1,4,SUV,Diesel,Automatic,Used,Luxury,Silver,Not Recommended
Tata Punch,29.29,20.3,7,Hatchback,Electric,Manual,Used,Luxury,Blue,Recommended
Kia Carnival,8.98,21.7,4,Hatchback,Diesel,Manual,New,Luxury,Black,Not Recommended
Hyundai Venue,37.37,13.7,6,Hatchback,Diesel,Automatic,Used,Luxury,Red,Not Recommended
Toyota Innova,13.81,10.4,7,Sedan,Diesel,Manual,Used,Luxury,Silver,Recommended
Toyota Glanza,31.61,12.3,7,Sedan,Petrol,Automatic,New,Luxury,Blue,Recommended
Toyota Innova,12.81,17.8,4,Sedan,Electric,Automatic,Used,Luxury,Red,Recommended
Tata Hexa,32.39,22.3,5,Hatchback,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Mahindra XUV300,17.93,11.7,6,Hatchback,Petrol,Manual,New,Luxury,Silver,Recommended
Maruti Dzire,31.89,22.4,7,Hatchback,Petrol,Manual,New,Luxury,Red,Not Recommended
Hyundai Creta,40.66,21.1,6,Hatchback,Electric,Manual,New,Luxury,Red,Recommended
Maruti Dzire,25.31,12.1,4,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Recommended
Kia Carnival,39.79,23.6,6,Hatchback,Electric,Automatic,Used,Luxury,Silver,Recommended
Tata Hexa,18.19,14.0,4,Sedan,Diesel,Manual,New,Luxury,Blue,Not Recommended
Maruti Baleno,38.91,14.4,5,Hatchback,Diesel,Automatic,Used,Luxury,Black,Recommended
Honda Jazz,16.16,24.4,7,Hatchback,Electric,Manual,Used,Luxury,Blue,Recommended
Tata Tiago,41.94,16.2,7,Hatchback,Petrol,Automatic,New,Luxury,White,Not Recommended
Mahindra Bolero,35.96,22.0,7,Hatchback,Electric,Manual,Used,Luxury,Red,Recommended
Honda Amaze,44.0,22.5,6,Sedan,Diesel,Manual,New,Luxury,Blue,Not Recommended
Mahindra XUV300,9.74,16.2,5,Hatchback,Petrol,Manual,New,Luxury,White,Not Recommended
Tata Punch,25.14,22.4,5,Sedan,Diesel,Manual,New,Luxury,Black,Recommended
Maruti Dzire,39.03,20.4,6,Sedan,Electric,Automatic,New,Luxury,White,Not Recommended
Mahindra Bolero,40.97,22.7,6,Sedan,Diesel,Manual,New,Luxury,White,Not Recommended
Tata Harrier,36.75,24.2,4,Sedan,Diesel,Manual,Used,Luxury,Silver,Recommended
Honda WR-V,11.47,22.3,5,Sedan,Electric,Manual,Used,Luxury,White,Not Recommended
Mahindra Bolero,40.97,22.7,6,Sedan,Diesel,Manual,New,Luxury,White,Not Recommended
Mahindra Scorpio,7.85,18.1,6,Sedan,Petrol,Automatic,Used,Luxury,Black,Recommended
Honda Jazz,4.26,20.1,6,Hatchback,Diesel,Manual,Used,Luxury,Black,Not Recommended
Honda WR-V,39.82,10.9,4,SUV,Electric,Automatic,New,Luxury,Silver,Recommended
Maruti Dzire,35.5,22.1,5,Hatchback,Electric,Manual,New,Luxury,Red,Recommended
Honda Amaze,43.22,21.9,6,SUV,Electric,Automatic,New,Luxury,White,Recommended
Honda Amaze,22.58,19.8,5,Hatchback,Diesel,Manual,Used,Luxury,Red,Recommended
Hyundai Grand i10,31.4,17.4,4,Sedan,Diesel,Manual,New,Luxury,Black,Recommended
Honda Amaze,20.48,16.2,6,SUV,Petrol,Automatic,Used,Luxury,White,Recommended
Tata Altroz,32.97,15.1,6,Hatchback,Electric,Automatic,New,Luxury,Blue,Recommended
Kia Carnival,32.55,15.2,7,Hatchback,Electric,Automatic,New,Luxury,Blue,Not Recommended
Tata Hexa,32.39,22.3,5,Hatchback,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Honda Civic,12.86,14.0,4,SUV,Diesel,Automatic,Used,Luxury,White,Not Recommended
Honda City,25.53,21.5,6,Hatchback,Electric,Manual,New,Luxury,Red,Recommended
Tata Altroz,9.73,24.4,6,SUV,Petrol,Automatic,New,Luxury,Blue,Recommended
Tata Safari,29.54,14.4,7,SUV,Diesel,Automatic,Used,Luxury,Red,Recommended
Tata Hexa,44.98,19.3,5,Hatchback,Petrol,Automatic,Used,Luxury,Black,Recommended
Kia Carnival,31.58,21.4,5,Sedan,Diesel,Automatic,Used,Luxury,Red,Not Recommended
Maruti WagonR,11.42,22.7,5,Sedan,Petrol,Manual,Used,Luxury,White,Not Recommended
Mahindra Scorpio,25.25,24.9,7,SUV,Diesel,Manual,New,Luxury,Red,Recommended
Honda City,19.02,24.7,6,Hatchback,Electric,Manual,Used,Luxury,Black,Recommended
Hyundai Creta,26.14,22.6,7,SUV,Electric,Automatic,Used,Luxury,Blue,Not Recommended
Maruti Baleno,10.0,17.0,5,Hatchback,Electric,Automatic,New,Luxury,Blue,Recommended
Mahindra Bolero,11.64,19.5,7,Hatchback,Petrol,Manual,Used,Luxury,Blue,Recommended
Honda Civic,39.63,18.4,5,SUV,Diesel,Automatic,New,Luxury,White,Recommended
Tata Nexon,5.23,15.8,7,Hatchback,Electric,Automatic,Used,Luxury,Silver,Recommended
Honda City,32.02,14.2,5,SUV,Diesel,Manual,New,Luxury,Blue,Not Recommended
Hyundai Elantra,36.69,16.9,4,Sedan,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Toyota Glanza,26.87,22.6,4,SUV,Diesel,Automatic,New,Luxury,Red,Not Recommended
Kia Carens,35.34,19.6,7,SUV,Petrol,Automatic,New,Luxury,Blue,Recommended
Tata Altroz,24.45,11.1,7,Hatchback,Diesel,Automatic,Used,Luxury,Blue,Recommended
Maruti WagonR,7.92,19.6,6,Hatchback,Petrol,Manual,New,Luxury,Black,Not Recommended
Honda City,25.53,21.5,6,Hatchback,Electric,Manual,New,Luxury,Red,Recommended
Tata Hexa,31.26,10.1,4,Sedan,Diesel,Automatic,New,Luxury,White,Recommended
Hyundai Elantra,17.65,14.7,5,Sedan,Petrol,Automatic,New,Luxury,White,Recommended
Tata Tigor,13.62,20.0,6,Sedan,Petrol,Automatic,New,Luxury,Red,Not Recommended
Mahindra XUV300,25.74,22.7,7,Hatchback,Electric,Automatic,New,Luxury,Blue,Not Recommended
Honda Civic,38.23,18.4,7,SUV,Diesel,Manual,Used,Luxury,White,Recommended
Hyundai i20,26.53,21.6,5,Sedan,Petrol,Automatic,New,Luxury,White,Not Recommended
