Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Mahindra Scorpio,8.27,21.4,6,Sedan,Diesel,Automatic,New,Sports,Blue,Recommended
Honda City,24.37,16.7,7,Hatchback,Electric,Manual,Used,Sports,Blue,Recommended
Tata Nexon,22.84,11.1,4,Sedan,Diesel,Automatic,New,Sports,White,Recommended
Hyundai Tucson,23.52,10.4,4,Sedan,Petrol,Automatic,Used,Sports,Black,Not Recommended
Tata Safari,29.73,18.2,6,SUV,Petrol,Automatic,New,Sports,Silver,Recommended
Honda City,13.43,17.0,4,Sedan,Petrol,Automatic,New,Sports,Red,Recommended
Maruti WagonR,6.92,24.7,6,Hatchback,Electric,Automatic,New,Sports,Blue,Not Recommended
Tata Harrier,31.89,15.5,7,SUV,Petrol,Manual,Used,Sports,Red,Recommended
Tata Punch,41.41,10.2,5,Hatchback,Electric,Automatic,New,Sports,White,Not Recommended
Maruti Alto,30.32,19.1,4,Hatchback,Diesel,Manual,Used,Sports,Silver,Not Recommended
Hyundai Creta,6.47,16.2,6,SUV,Diesel,Manual,New,Sports,White,Not Recommended
Kia Seltos,18.36,15.9,4,Sedan,Petrol,Manual,Used,Sports,Black,Not Recommended
Tata Altroz,7.51,14.3,5,Sedan,Diesel,Automatic,New,Sports,Silver,Not Recommended
Maruti Brezza,26.14,10.9,4,Hatchback,Electric,Manual,New,Sports,Red,Recommended
Maruti Alto,10.4,18.1,4,Hatchback,Electric,Manual,New,Sports,Silver,Not Recommended
Kia Carnival,8.98,21.7,4,Hatchback,Diesel,Manual,New,Sports,Black,Not Recommended
Hyundai i20,27.39,15.2,4,SUV,Diesel,Automatic,Used,Sports,Red,Not Recommended
Honda Civic,20.58,20.2,5,Hatchback,Electric,Automatic,Used,Sports,Blue,Recommended
Hyundai Verna,4.2,11.7,5,SUV,Diesel,Manual,Used,Sports,Silver,Recommended
Mahindra XUV300,9.74,16.2,5,Hatchback,Petrol,Manual,New,Sports,White,Not Recommended
Maruti Brezza,28.92,22.7,6,Sedan,Diesel,Manual,New,Sports,Red,Recommended
Mahindra XUV300,25.74,22.7,7,Hatchback,Electric,Automatic,New,Sports,Blue,Not Recommended
Hyundai Elantra,39.33,12.0,7,Hatchback,Diesel,Automatic,New,Sports,White,Not Recommended
Hyundai Elantra,16.93,16.5,4,Hatchback,Petrol,Manual,Used,Sports,Blue,Recommended
Maruti Swift,40.04,23.6,5,Sedan,Electric,Automatic,New,Sports,Red,Recommended
Kia Seltos,40.08,22.6,5,SUV,Petrol,Manual,Used,Sports,Black,Not Recommended
Tata Punch,18.58,18.8,4,Hatchback,Diesel,Automatic,Used,Sports,Blue,Not Recommended
Tata Tiago,41.75,19.0,5,SUV,Diesel,Manual,Used,Sports,White,Not Recommended
Maruti Dzire,5.33,22.5,7,Sedan,Petrol,Automatic,New,Sports,Black,Not Recommended
Toyota Innova,27.71,21.6,6,Hatchback,Petrol,Automatic,Used,Sports,Silver,Not Recommended
Honda Civic,18.02,13.2,5,Sedan,Petrol,Manual,New,Sports,Silver,Not Recommended
Tata Nexon,18.18,20.2,4,SUV,Electric,Automatic,New,Sports,Red,Recommended
Maruti WagonR,35.31,15.9,4,Hatchback,Electric,Manual,Used,Sports,Blue,Not Recommended
Maruti WagonR,6.34,10.4,6,SUV,Petrol,Manual,New,Sports,Red,Recommended
Honda City,32.02,14.2,5,SUV,Diesel,Manual,New,Sports,Blue,Not Recommended
Tata Punch,29.29,20.3,7,Hatchback,Electric,Manual,Used,Sports,Blue,Recommended
Maruti Dzire,5.33,22.5,7,Sedan,Petrol,Automatic,New,Sports,Black,Not Recommended
Tata Tigor,18.25,20.6,5,Hatchback,Diesel,Automatic,Used,Sports,Red,Recommended
Honda City,25.28,17.7,6,SUV,Electric,Manual,New,Sports,Red,Recommended
Maruti WagonR,21.86,21.9,7,SUV,Petrol,Automatic,New,Sports,White,Recommended
Maruti WagonR,9.28,19.3,6,Sedan,Diesel,Manual,New,Sports,Blue,Recommended
Kia Seltos,29.59,24.9,6,SUV,Diesel,Automatic,Used,Sports,Red,Not Recommended
Kia Carens,4.97,24.7,5,SUV,Diesel,Automatic,Used,Sports,Silver,Recommended
Mahindra Thar,24.8,10.4,5,SUV,Diesel,Manual,Used,Sports,Black,Recommended
Maruti Brezza,31.45,11.5,5,Hatchback,Diesel,Automatic,New,Sports,White,Recommended
Hyundai i20,32.49,17.7,4,Hatchback,Electric,Automatic,New,Sports,Red,Recommended
Toyota Glanza,11.13,14.8,7,Hatchback,Petrol,Automatic,Used,Sports,Silver,Recommended
Toyota Glanza,20.03,22.9,7,SUV,Electric,Automatic,Used,Sports,Blue,Recommended
Hyundai Grand i10,31.4,17.4,4,Sedan,Diesel,Manual,New,Sports,Black,Recommended
Tata Safari,19.11,18.9,7,Hatchback,Diesel,Automatic,New,Sports,Silver,Not Recommended
