Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
34.24,22.0,4,1.0,0.0,0.0,0.0,0.0,2.0
22.54,14.4,6,2.0,0.0,0.0,0.0,0.0,2.0
13.21,24.7,4,1.0,2.0,0.0,1.0,0.0,2.0
22.55,19.0,4,2.0,0.0,1.0,0.0,1.0,0.0
9.78,18.7,6,1.0,0.0,0.0,1.0,0.0,4.0
11.23,21.2,7,2.0,2.0,0.0,1.0,0.0,3.0
24.43,22.2,4,2.0,1.0,0.0,1.0,0.0,1.0
21.18,19.8,4,1.0,1.0,0.0,0.0,2.0,2.0
41.51,11.9,5,2.0,0.0,0.0,1.0,0.0,4.0
18.86,15.1,7,0.0,2.0,1.0,1.0,1.0,3.0
27.8,23.9,4,1.0,1.0,1.0,0.0,1.0,4.0
29.92,13.4,5,0.0,0.0,0.0,1.0,2.0,0.0
4.54,15.6,7,1.0,0.0,1.0,0.0,1.0,3.0
31.21,16.5,6,2.0,2.0,1.0,1.0,1.0,4.0
11.3,16.6,6,2.0,0.0,0.0,0.0,2.0,0.0
43.4,19.2,5,2.0,1.0,0.0,1.0,0.0,4.0
10.1,24.1,6,1.0,2.0,1.0,1.0,2.0,4.0
21.0,13.6,4,0.0,1.0,0.0,1.0,0.0,3.0
7.5,11.8,7,0.0,1.0,1.0,1.0,0.0,0.0
44.87,13.0,4,1.0,1.0,1.0,1.0,1.0,2.0
24.59,23.3,4,1.0,0.0,0.0,0.0,2.0,1.0
28.41,19.7,6,0.0,0.0,1.0,0.0,1.0,3.0
6.75,14.3,4,0.0,1.0,1.0,1.0,1.0,0.0
34.75,22.2,6,0.0,1.0,1.0,1.0,0.0,4.0
12.61,22.9,7,0.0,2.0,0.0,1.0,1.0,0.0
40.82,22.7,7,1.0,2.0,0.0,0.0,2.0,1.0
12.41,23.8,4,1.0,0.0,0.0,0.0,1.0,1.0
11.82,13.8,5,2.0,0.0,0.0,1.0,1.0,2.0
5.5,21.3,6,0.0,2.0,1.0,0.0,0.0,2.0
23.35,16.9,6,2.0,1.0,0.0,1.0,2.0,1.0
27.16,22.6,4,1.0,0.0,0.0,1.0,1.0,3.0
6.69,20.9,6,1.0,1.0,0.0,1.0,0.0,3.0
35.8,21.6,6,2.0,2.0,0.0,0.0,1.0,4.0
22.58,19.8,5,0.0,0.0,1.0,1.0,2.0,2.0
25.5,12.7,5,0.0,0.0,1.0,1.0,1.0,4.0
22.07,18.2,4,0.0,2.0,1.0,1.0,1.0,2.0
20.43,24.8,5,0.0,0.0,0.0,0.0,0.0,1.0
26.95,24.1,4,2.0,2.0,0.0,0.0,1.0,3.0
10.36,10.6,7,2.0,0.0,1.0,0.0,0.0,3.0
11.46,12.5,4,1.0,2.0,0.0,1.0,2.0,1.0
39.33,12.0,7,0.0,0.0,0.0,0.0,1.0,4.0
42.79,20.9,4,0.0,1.0,1.0,1.0,2.0,4.0
