Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
Honda Amaze,16.91,23.5,4,Sedan,Diesel,Automatic,Used,Family,Red
Renault Triber,28.54,17.0,7,MUV,Electric,Manual,New,Family,White
Mahindra XUV700,25.6,13.6,4,SUV,Diesel,Manual,Used,Luxury,White
Honda Jazz,4.02,13.6,4,Hatchback,Diesel,Automatic,New,Luxury,Grey
Kia Sonet,15.68,21.9,5,SUV,Hybrid,Automatic,Excellent,Luxury,Silver
Toyota Glanza,7.04,18.7,4,Hatchback,CNG,Automatic,New,Luxury,Grey
Mahindra Bolero,23.83,15.4,7,MUV,Diesel,Manual,Excellent,Luxury,Blue
Kia Sonet,9.7,20.5,4,Hatchback,Hybrid,Manual,New,Sporty,Black
Toyota Glanza,4.72,13.9,4,Hatchback,CNG,Automatic,Excellent,Luxury,Silver
Mahindra Scorpio,27.72,20.6,5,SUV,Petrol,Automatic,Used,Family,Black
Honda Amaze,14.76,22.5,5,Sedan,Hybrid,Automatic,Used,Family,Black
Tata Harrier,14.74,23.0,5,SUV,Diesel,Manual,Used,Sporty,Blue
Kia Sonet,22.59,19.3,5,MUV,CNG,Manual,New,Luxury,Blue
Hyundai Venue,27.33,17.7,4,SUV,CNG,Manual,Used,Luxury,Red
Tata Altroz,7.01,14.7,5,Hatchback,Diesel,Manual,Used,Family,Silver
Kia Sonet,6.66,17.5,5,Hatchback,Diesel,Manual,Excellent,Family,White
Toyota Fortuner,16.92,18.6,4,SUV,Petrol,Automatic,New,Sporty,Blue
Maruti Dzire,13.44,21.7,5,Sedan,Petrol,Manual,New,Luxury,Red
Mahindra Scorpio,29.12,14.8,4,SUV,CNG,Manual,Excellent,Family,Blue
Tata Nexon,30.53,20.8,4,SUV,Petrol,Automatic,Excellent,Family,Silver
Honda City,9.4,15.9,5,Sedan,CNG,Automatic,Used,Sporty,Red
Tata Punch,15.22,15.7,5,MUV,Electric,Automatic,New,Sporty,Silver
Honda City,11.11,22.5,5,Sedan,Hybrid,Manual,New,Sporty,Black
Mahindra XUV700,30.75,16.3,5,SUV,Diesel,Manual,Used,Luxury,Grey
Toyota Fortuner,24.89,23.7,5,SUV,Diesel,Manual,Used,Luxury,Grey
Honda City,8.47,19.9,4,Sedan,Electric,Automatic,New,Family,Grey
Honda Amaze,13.93,14.7,5,Sedan,Electric,Automatic,Used,Family,Grey
Kia Seltos,13.28,14.7,5,SUV,CNG,Manual,Used,Sporty,Grey
Tata Punch,16.04,19.0,4,Sedan,Electric,Manual,Used,Family,Blue
Mahindra Bolero,14.92,13.1,7,MUV,Electric,Manual,Excellent,Luxury,Blue
Hyundai Venue,28.34,23.8,4,SUV,CNG,Manual,New,Family,Grey
Mahindra XUV700,16.46,15.9,4,SUV,Electric,Automatic,Excellent,Luxury,Grey
Toyota Fortuner,21.43,19.3,5,SUV,Diesel,Automatic,New,Luxury,Silver
Maruti Swift,9.27,20.8,5,Hatchback,Electric,Automatic,Used,Family,Grey
Renault Kiger,24.72,12.7,5,SUV,Electric,Automatic,Excellent,Sporty,White
Maruti Swift,5.14,18.6,5,Hatchback,Diesel,Automatic,New,Luxury,Grey
Mahindra Bolero,14.13,13.6,7,MUV,Hybrid,Automatic,Used,Luxury,Black
Renault Triber,15.03,13.4,7,MUV,Petrol,Automatic,Excellent,Luxury,White
Maruti Dzire,14.37,18.4,5,Sedan,Electric,Manual,Used,Family,Grey
Hyundai Venue,34.39,16.1,4,SUV,Hybrid,Manual,New,Sporty,Blue
Tata Nexon,19.93,14.6,4,SUV,Hybrid,Manual,Excellent,Sporty,Blue
Hyundai i20,5.05,17.0,5,Hatchback,CNG,Manual,New,Luxury,Silver
Maruti Baleno,7.98,14.3,4,Hatchback,CNG,Manual,New,Family,Blue
Tata Altroz,9.37,17.5,5,Hatchback,Petrol,Manual,Excellent,Sporty,Red
Maruti Ertiga,28.95,22.7,7,MUV,Hybrid,Manual,Used,Luxury,White
Maruti Baleno,7.68,12.3,4,Hatchback,CNG,Automatic,Used,Sporty,White
Mahindra Bolero,23.03,16.4,7,MUV,Hybrid,Manual,New,Luxury,Red
Maruti Baleno,8.93,22.0,4,Hatchback,Petrol,Manual,New,Luxury,White
Tata Altroz,5.46,21.4,4,Hatchback,CNG,Manual,New,Luxury,Black
