Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
16.91,23.5,4,2.0,0.0,0.0,1.0,0.0,2.0
28.54,17.0,7,,1.0,1.0,0.0,0.0,4.0
25.6,13.6,4,1.0,0.0,1.0,1.0,1.0,4.0
4.02,13.6,4,0.0,0.0,0.0,0.0,1.0,
15.68,21.9,5,1.0,,0.0,,1.0,3.0
7.04,18.7,4,0.0,,0.0,0.0,1.0,
23.83,15.4,7,,0.0,1.0,,1.0,1.0
9.7,20.5,4,0.0,,1.0,0.0,2.0,0.0
4.72,13.9,4,0.0,,0.0,,1.0,3.0
27.72,20.6,5,1.0,2.0,0.0,1.0,0.0,0.0
14.76,22.5,5,2.0,,0.0,1.0,0.0,0.0
14.74,23.0,5,1.0,0.0,1.0,1.0,2.0,1.0
22.59,19.3,5,,,1.0,0.0,1.0,1.0
27.33,17.7,4,1.0,,1.0,1.0,1.0,2.0
7.01,14.7,5,0.0,0.0,1.0,1.0,0.0,3.0
6.66,17.5,5,0.0,0.0,1.0,,0.0,4.0
16.92,18.6,4,1.0,2.0,0.0,0.0,2.0,1.0
13.44,21.7,5,2.0,2.0,1.0,0.0,1.0,2.0
29.12,14.8,4,1.0,,1.0,,0.0,1.0
30.53,20.8,4,1.0,2.0,0.0,,0.0,3.0
9.4,15.9,5,2.0,,0.0,1.0,2.0,2.0
15.22,15.7,5,,1.0,0.0,0.0,2.0,3.0
11.11,22.5,5,2.0,,1.0,0.0,2.0,0.0
30.75,16.3,5,1.0,0.0,1.0,1.0,1.0,
24.89,23.7,5,1.0,0.0,1.0,1.0,1.0,
8.47,19.9,4,2.0,1.0,0.0,0.0,0.0,
13.93,14.7,5,2.0,1.0,0.0,1.0,0.0,
13.28,14.7,5,1.0,,1.0,1.0,2.0,
16.04,19.0,4,2.0,1.0,1.0,1.0,0.0,1.0
14.92,13.1,7,,1.0,1.0,,1.0,1.0
28.34,23.8,4,1.0,,1.0,0.0,0.0,
16.46,15.9,4,1.0,1.0,0.0,,1.0,
21.43,19.3,5,1.0,0.0,0.0,0.0,1.0,3.0
9.27,20.8,5,0.0,1.0,0.0,1.0,0.0,
24.72,12.7,5,1.0,1.0,0.0,,2.0,4.0
5.14,18.6,5,0.0,0.0,0.0,0.0,1.0,
14.13,13.6,7,,,0.0,1.0,1.0,0.0
15.03,13.4,7,,2.0,0.0,,1.0,4.0
14.37,18.4,5,2.0,1.0,1.0,1.0,0.0,
34.39,16.1,4,1.0,,1.0,0.0,2.0,1.0
19.93,14.6,4,1.0,,1.0,,2.0,1.0
5.05,17.0,5,0.0,,1.0,0.0,1.0,3.0
7.98,14.3,4,0.0,,1.0,0.0,0.0,1.0
9.37,17.5,5,0.0,2.0,1.0,,2.0,2.0
28.95,22.7,7,,,1.0,1.0,1.0,4.0
7.68,12.3,4,0.0,,0.0,1.0,2.0,4.0
23.03,16.4,7,,,1.0,0.0,1.0,2.0
8.93,22.0,4,0.0,2.0,1.0,0.0,1.0,4.0
5.46,21.4,4,0.0,,1.0,0.0,1.0,0.0
14.27,18.7,7,,1.0,1.0,1.0,0.0,4.0
7.6,12.2,5,0.0,1.0,0.0,0.0,2.0,3.0
14.84,16.4,5,2.0,2.0,0.0,,0.0,1.0
13.88,16.3,4,2.0,0.0,0.0,0.0,1.0,4.0
14.27,15.2,4,2.0,,0.0,,0.0,0.0
10.41,14.4,7,,2.0,0.0,0.0,0.0,0.0
9.38,14.9,4,0.0,,1.0,,0.0,2.0
34.58,13.3,4,1.0,,1.0,0.0,0.0,0.0
14.44,16.8,5,2.0,2.0,1.0,1.0,0.0,
25.5,20.4,5,,2.0,1.0,0.0,0.0,0.0
5.55,13.1,4,0.0,0.0,1.0,1.0,2.0,
5.21,23.0,5,0.0,,1.0,0.0,0.0,3.0
8.47,18.4,4,2.0,2.0,1.0,,2.0,3.0
19.48,20.6,7,,1.0,1.0,,1.0,2.0
5.45,23.6,5,0.0,0.0,1.0,,0.0,
12.81,22.6,4,1.0,0.0,1.0,1.0,2.0,
13.54,22.7,5,,,0.0,,2.0,1.0
26.14,12.2,7,,,1.0,1.0,0.0,1.0
31.33,23.7,5,1.0,,0.0,1.0,2.0,1.0
4.59,12.7,4,0.0,0.0,1.0,0.0,2.0,3.0
8.73,19.5,4,2.0,2.0,0.0,,1.0,4.0
8.92,15.2,5,0.0,,1.0,,2.0,2.0
21.68,15.0,5,1.0,1.0,0.0,1.0,1.0,2.0
10.89,13.3,4,2.0,,1.0,1.0,0.0,2.0
8.25,15.2,5,0.0,2.0,1.0,0.0,0.0,2.0
23.96,22.6,7,,,1.0,,2.0,1.0
30.45,16.9,4,1.0,1.0,0.0,0.0,2.0,0.0
