Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
4.92,11.4,5,2.0,0.0,0.0,0.0,0.0,4.0
43.97,11.7,7,1.0,1.0,1.0,0.0,0.0,2.0
40.93,23.5,7,0.0,0.0,1.0,0.0,0.0,0.0
11.11,11.7,7,0.0,2.0,0.0,1.0,0.0,1.0
29.36,11.5,7,0.0,2.0,0.0,1.0,0.0,2.0
10.54,20.7,5,1.0,0.0,1.0,1.0,0.0,0.0
9.38,11.0,4,1.0,0.0,0.0,0.0,0.0,3.0
15.77,14.9,5,1.0,0.0,0.0,0.0,0.0,0.0
11.32,16.9,4,1.0,0.0,0.0,1.0,0.0,3.0
12.24,11.3,5,2.0,2.0,1.0,1.0,0.0,4.0
43.7,11.2,7,0.0,2.0,0.0,0.0,0.0,3.0
43.48,11.3,4,0.0,1.0,1.0,1.0,0.0,2.0
13.51,11.8,5,2.0,0.0,0.0,1.0,0.0,4.0
7.16,19.1,4,2.0,1.0,0.0,1.0,0.0,0.0
6.75,14.3,4,0.0,1.0,1.0,1.0,0.0,0.0
32.51,23.0,5,1.0,1.0,1.0,1.0,0.0,0.0
15.22,14.4,5,1.0,1.0,1.0,1.0,0.0,0.0
14.65,12.2,5,0.0,1.0,0.0,0.0,0.0,3.0
25.31,12.1,4,0.0,2.0,0.0,1.0,0.0,3.0
28.29,22.9,5,0.0,1.0,0.0,0.0,0.0,3.0
16.6,24.4,6,2.0,1.0,1.0,0.0,0.0,3.0
16.16,24.4,7,0.0,1.0,1.0,1.0,0.0,1.0
44.79,14.5,5,2.0,1.0,1.0,1.0,0.0,3.0
22.84,11.1,4,2.0,0.0,0.0,0.0,0.0,4.0
39.61,21.9,4,0.0,2.0,0.0,0.0,0.0,4.0
40.44,22.1,5,1.0,1.0,1.0,0.0,0.0,2.0
31.26,10.1,4,2.0,0.0,0.0,0.0,0.0,4.0
18.01,15.5,6,1.0,1.0,1.0,0.0,0.0,2.0
20.68,10.6,5,1.0,2.0,0.0,1.0,0.0,4.0
11.24,21.9,5,2.0,0.0,1.0,0.0,0.0,4.0
12.81,17.8,4,2.0,1.0,0.0,1.0,0.0,2.0
21.73,11.4,6,2.0,0.0,0.0,0.0,0.0,1.0
29.05,17.8,7,0.0,2.0,1.0,1.0,0.0,3.0
36.82,10.1,5,2.0,0.0,1.0,1.0,0.0,4.0
30.76,10.1,4,1.0,0.0,0.0,1.0,0.0,3.0
29.29,20.3,7,0.0,1.0,1.0,1.0,0.0,1.0
8.98,21.7,4,0.0,0.0,1.0,0.0,0.0,0.0
37.37,13.7,6,0.0,0.0,0.0,1.0,0.0,2.0
13.81,10.4,7,2.0,0.0,1.0,1.0,0.0,3.0
31.61,12.3,7,2.0,2.0,0.0,0.0,0.0,1.0
12.81,17.8,4,2.0,1.0,0.0,1.0,0.0,2.0
32.39,22.3,5,0.0,2.0,0.0,1.0,0.0,2.0
17.93,11.7,6,0.0,2.0,1.0,0.0,0.0,3.0
31.89,22.4,7,0.0,2.0,1.0,0.0,0.0,2.0
40.66,21.1,6,0.0,1.0,1.0,0.0,0.0,2.0
25.31,12.1,4,0.0,2.0,0.0,1.0,0.0,3.0
39.79,23.6,6,0.0,1.0,0.0,1.0,0.0,3.0
18.19,14.0,4,2.0,0.0,1.0,0.0,0.0,1.0
38.91,14.4,5,0.0,0.0,0.0,1.0,0.0,0.0
16.16,24.4,7,0.0,1.0,1.0,1.0,0.0,1.0
41.94,16.2,7,0.0,2.0,0.0,0.0,0.0,4.0
35.96,22.0,7,0.0,1.0,1.0,1.0,0.0,2.0
44.0,22.5,6,2.0,0.0,1.0,0.0,0.0,1.0
9.74,16.2,5,0.0,2.0,1.0,0.0,0.0,4.0
25.14,22.4,5,2.0,0.0,1.0,0.0,0.0,0.0
39.03,20.4,6,2.0,1.0,0.0,0.0,0.0,4.0
40.97,22.7,6,2.0,0.0,1.0,0.0,0.0,4.0
36.75,24.2,4,2.0,0.0,1.0,1.0,0.0,3.0
11.47,22.3,5,2.0,1.0,1.0,1.0,0.0,4.0
40.97,22.7,6,2.0,0.0,1.0,0.0,0.0,4.0
7.85,18.1,6,2.0,2.0,0.0,1.0,0.0,0.0
4.26,20.1,6,0.0,0.0,1.0,1.0,0.0,0.0
39.82,10.9,4,1.0,1.0,0.0,0.0,0.0,3.0
35.5,22.1,5,0.0,1.0,1.0,0.0,0.0,2.0
43.22,21.9,6,1.0,1.0,0.0,0.0,0.0,4.0
22.58,19.8,5,0.0,0.0,1.0,1.0,0.0,2.0
31.4,17.4,4,2.0,0.0,1.0,0.0,0.0,0.0
20.48,16.2,6,1.0,2.0,0.0,1.0,0.0,4.0
32.97,15.1,6,0.0,1.0,0.0,0.0,0.0,1.0
32.55,15.2,7,0.0,1.0,0.0,0.0,0.0,1.0
32.39,22.3,5,0.0,2.0,0.0,1.0,0.0,2.0
12.86,14.0,4,1.0,0.0,0.0,1.0,0.0,4.0
25.53,21.5,6,0.0,1.0,1.0,0.0,0.0,2.0
9.73,24.4,6,1.0,2.0,0.0,0.0,0.0,1.0
29.54,14.4,7,1.0,0.0,0.0,1.0,0.0,2.0
44.98,19.3,5,0.0,2.0,0.0,1.0,0.0,0.0
31.58,21.4,5,2.0,0.0,0.0,1.0,0.0,2.0
11.42,22.7,5,2.0,2.0,1.0,1.0,0.0,4.0
25.25,24.9,7,1.0,0.0,1.0,0.0,0.0,2.0
19.02,24.7,6,0.0,1.0,1.0,1.0,0.0,0.0
26.14,22.6,7,1.0,1.0,0.0,1.0,0.0,1.0
10.0,17.0,5,0.0,1.0,0.0,0.0,0.0,1.0
11.64,19.5,7,0.0,2.0,1.0,1.0,0.0,1.0
39.63,18.4,5,1.0,0.0,0.0,0.0,0.0,4.0
5.23,15.8,7,0.0,1.0,0.0,1.0,0.0,3.0
32.02,14.2,5,1.0,0.0,1.0,0.0,0.0,1.0
36.69,16.9,4,2.0,2.0,0.0,1.0,0.0,2.0
26.87,22.6,4,1.0,0.0,0.0,0.0,0.0,2.0
35.34,19.6,7,1.0,2.0,0.0,0.0,0.0,1.0
24.45,11.1,7,0.0,0.0,0.0,1.0,0.0,1.0
7.92,19.6,6,0.0,2.0,1.0,0.0,0.0,0.0
25.53,21.5,6,0.0,1.0,1.0,0.0,0.0,2.0
31.26,10.1,4,2.0,0.0,0.0,0.0,0.0,4.0
17.65,14.7,5,2.0,2.0,0.0,0.0,0.0,4.0
13.62,20.0,6,2.0,2.0,0.0,0.0,0.0,2.0
25.74,22.7,7,0.0,1.0,0.0,0.0,0.0,1.0
38.23,18.4,7,1.0,0.0,1.0,1.0,0.0,4.0
26.53,21.6,5,2.0,2.0,0.0,0.0,0.0,4.0
23.46,19.1,7,0.0,2.0,1.0,0.0,0.0,3.0
18.8,21.3,6,0.0,2.0,0.0,1.0,0.0,4.0
24.18,16.4,7,2.0,1.0,0.0,0.0,0.0,3.0
6.47,20.4,4,2.0,2.0,1.0,1.0,0.0,2.0
25.61,10.9,5,0.0,1.0,0.0,1.0,0.0,3.0
21.21,10.2,7,1.0,1.0,1.0,0.0,0.0,1.0
38.62,10.1,6,2.0,0.0,1.0,1.0,0.0,4.0
5.09,10.1,7,2.0,0.0,0.0,0.0,0.0,1.0
31.02,17.6,5,0.0,2.0,1.0,1.0,0.0,0.0
38.91,14.4,5,0.0,0.0,0.0,1.0,0.0,0.0
