Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
252.12,14.1,4,,0.0,0.0,0.0,0.0,1.0
33.24,7.9,5,,1.0,1.0,1.0,1.0,
237.23,14.2,2,,1.0,0.0,0.0,0.0,0.0
288.74,5.1,5,,1.0,0.0,1.0,0.0,0.0
222.82,11.8,5,,0.0,0.0,1.0,,0.0
121.69,11.4,5,,,0.0,1.0,,2.0
258.71,10.1,2,,0.0,1.0,0.0,0.0,0.0
155.79,13.8,4,,0.0,0.0,1.0,1.0,2.0
110.67,13.7,2,,0.0,0.0,0.0,,1.0
95.0,12.4,4,,1.0,1.0,0.0,0.0,2.0
275.85,6.3,2,,,1.0,1.0,1.0,
176.27,13.4,4,,0.0,1.0,0.0,,1.0
199.89,6.4,5,,1.0,0.0,1.0,0.0,1.0
52.14,7.5,4,,1.0,1.0,1.0,,1.0
90.02,6.1,2,,,1.0,0.0,1.0,3.0
38.77,9.9,5,,,0.0,1.0,0.0,1.0
129.11,13.8,4,,1.0,0.0,1.0,0.0,2.0
159.62,13.8,5,,1.0,0.0,1.0,0.0,0.0
83.98,6.7,4,,,1.0,0.0,0.0,0.0
203.63,5.8,2,,1.0,0.0,0.0,0.0,3.0
297.23,10.7,4,,0.0,1.0,1.0,0.0,
81.07,7.5,5,,0.0,0.0,1.0,,
194.23,8.9,5,,1.0,0.0,0.0,0.0,2.0
82.06,7.6,2,,1.0,0.0,0.0,0.0,
146.65,7.6,5,,1.0,1.0,0.0,1.0,2.0
216.1,8.0,5,,,0.0,1.0,1.0,0.0
201.57,14.1,5,,,1.0,1.0,,2.0
226.82,9.8,2,,0.0,1.0,0.0,,3.0
114.85,12.4,4,,,1.0,1.0,1.0,
130.2,7.7,2,,,1.0,1.0,,3.0
86.37,10.0,4,,1.0,1.0,1.0,1.0,1.0
40.85,9.9,2,,0.0,0.0,0.0,0.0,2.0
98.48,14.2,4,,,0.0,1.0,0.0,0.0
186.29,5.1,2,,1.0,1.0,1.0,1.0,0.0
276.16,5.4,5,,1.0,1.0,0.0,,3.0
61.2,5.9,2,,0.0,1.0,1.0,0.0,0.0
180.04,5.1,4,,,0.0,0.0,0.0,2.0
59.4,12.3,5,,1.0,1.0,0.0,,0.0
192.08,7.2,4,,,0.0,1.0,0.0,0.0
51.52,10.8,5,,0.0,0.0,0.0,0.0,0.0
177.14,12.5,4,,1.0,1.0,1.0,0.0,2.0
61.19,11.8,5,,,0.0,0.0,1.0,0.0
192.04,13.1,2,,1.0,0.0,1.0,0.0,3.0
144.29,10.9,2,,0.0,1.0,1.0,0.0,0.0
127.24,7.8,5,,1.0,0.0,1.0,0.0,2.0
212.84,10.4,4,,,1.0,0.0,1.0,1.0
185.05,6.7,2,,1.0,0.0,1.0,,1.0
206.5,11.0,2,,,1.0,0.0,,2.0
275.14,5.0,4,,0.0,1.0,0.0,0.0,1.0
64.33,10.5,5,,,1.0,1.0,0.0,3.0
242.98,13.9,5,,,1.0,0.0,0.0,0.0
85.7,10.9,5,,,1.0,0.0,0.0,0.0
197.14,10.0,5,,,0.0,1.0,,1.0
122.04,11.4,2,,1.0,0.0,0.0,,3.0
168.37,8.7,2,,,0.0,0.0,0.0,1.0
86.55,8.8,5,,,0.0,1.0,1.0,3.0
274.28,10.6,4,,,1.0,0.0,,3.0
111.36,7.9,4,,0.0,1.0,1.0,0.0,3.0
168.54,6.7,4,,1.0,0.0,0.0,,3.0
173.37,5.2,5,,1.0,0.0,0.0,,1.0
86.44,7.0,5,,1.0,1.0,0.0,1.0,
296.33,6.8,5,,,0.0,0.0,1.0,3.0
229.91,14.8,5,,1.0,0.0,0.0,1.0,1.0
221.08,13.2,5,,0.0,1.0,0.0,0.0,
57.53,12.3,5,,,1.0,1.0,0.0,2.0
209.26,6.4,5,,,0.0,1.0,0.0,0.0
221.75,8.7,4,,0.0,0.0,1.0,,3.0
131.19,8.6,5,,,1.0,0.0,,1.0
275.6,7.0,5,,1.0,0.0,0.0,,3.0
208.63,14.3,5,,1.0,0.0,1.0,0.0,3.0
228.86,11.0,2,,0.0,1.0,1.0,,1.0
101.22,8.1,2,,0.0,1.0,0.0,,
121.57,7.3,5,,1.0,1.0,1.0,,1.0
220.83,11.3,2,,,0.0,0.0,,
145.88,5.7,4,,1.0,1.0,1.0,1.0,0.0
106.08,6.5,2,,0.0,0.0,1.0,,1.0
288.37,12.2,2,,0.0,1.0,0.0,,0.0
100.87,5.2,2,,,1.0,0.0,0.0,
265.62,6.5,4,,1.0,0.0,1.0,,
206.19,5.7,4,,,0.0,1.0,,1.0
164.17,9.9,4,,1.0,0.0,1.0,1.0,1.0
75.73,13.8,2,,0.0,0.0,1.0,1.0,3.0
141.52,9.8,5,,1.0,0.0,1.0,0.0,1.0
104.74,12.3,5,,0.0,0.0,1.0,1.0,3.0
116.94,12.6,5,,0.0,1.0,0.0,1.0,
200.84,6.7,5,,,1.0,1.0,1.0,3.0
81.34,9.2,2,,0.0,0.0,1.0,,3.0
263.03,6.4,4,,,1.0,1.0,1.0,0.0
66.36,10.3,4,,,0.0,1.0,,2.0
265.55,10.1,5,,,0.0,0.0,1.0,2.0
224.2,11.5,4,,,1.0,0.0,,3.0
251.79,6.7,4,,0.0,1.0,1.0,0.0,
114.74,9.5,5,,,1.0,1.0,,2.0
30.38,9.9,4,,1.0,1.0,0.0,0.0,
161.26,6.9,5,,0.0,0.0,0.0,0.0,0.0
283.95,10.3,5,,1.0,1.0,0.0,0.0,
149.99,10.6,5,,,0.0,0.0,0.0,1.0
199.15,6.9,2,,0.0,0.0,1.0,0.0,2.0
242.19,12.3,5,,0.0,1.0,0.0,1.0,1.0
47.86,13.1,2,,1.0,1.0,1.0,1.0,1.0
282.52,8.6,2,,0.0,1.0,1.0,1.0,3.0
