Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
35.45,16.9,7,1.0,1.0,1.0,0.0,2.0,4.0
14.58,16.5,6,0.0,1.0,1.0,1.0,0.0,3.0
42.04,20.4,4,1.0,1.0,1.0,0.0,1.0,3.0
31.27,13.3,6,2.0,0.0,1.0,0.0,0.0,0.0
31.22,20.2,7,0.0,2.0,0.0,0.0,0.0,2.0
13.71,20.6,4,2.0,1.0,1.0,1.0,1.0,0.0
25.53,21.5,6,0.0,1.0,1.0,0.0,2.0,2.0
32.29,24.5,5,0.0,0.0,1.0,1.0,1.0,1.0
15.78,15.0,4,0.0,1.0,0.0,0.0,1.0,3.0
39.67,18.2,6,2.0,0.0,0.0,0.0,1.0,0.0
29.4,10.3,4,0.0,1.0,1.0,0.0,1.0,2.0
26.14,14.5,5,1.0,2.0,1.0,0.0,0.0,4.0
21.37,14.4,7,1.0,2.0,1.0,0.0,0.0,4.0
39.75,16.8,7,1.0,2.0,0.0,0.0,0.0,0.0
11.42,22.7,5,2.0,2.0,1.0,1.0,2.0,4.0
7.08,17.2,4,2.0,0.0,0.0,1.0,0.0,4.0
9.78,18.7,6,1.0,0.0,0.0,1.0,0.0,4.0
5.33,22.5,7,2.0,2.0,0.0,0.0,1.0,0.0
5.2,21.2,7,1.0,2.0,1.0,0.0,2.0,2.0
25.11,21.8,4,0.0,2.0,1.0,1.0,0.0,4.0
44.86,13.4,7,0.0,1.0,0.0,0.0,0.0,2.0
24.89,11.0,6,1.0,1.0,0.0,1.0,0.0,4.0
21.56,13.6,4,0.0,0.0,0.0,0.0,0.0,0.0
32.22,20.9,6,0.0,0.0,1.0,1.0,0.0,0.0
9.59,19.4,7,1.0,1.0,0.0,0.0,1.0,3.0
20.76,22.6,4,2.0,0.0,0.0,1.0,2.0,1.0
40.35,21.8,6,2.0,2.0,1.0,1.0,0.0,0.0
25.85,13.7,5,1.0,0.0,0.0,0.0,2.0,0.0
31.01,16.0,6,0.0,2.0,1.0,0.0,0.0,1.0
32.29,24.5,5,0.0,0.0,1.0,1.0,1.0,1.0
25.55,19.1,7,1.0,2.0,1.0,1.0,2.0,1.0
30.39,12.0,5,2.0,1.0,1.0,1.0,1.0,3.0
7.0,15.8,5,1.0,1.0,1.0,1.0,0.0,1.0
40.24,12.4,6,1.0,0.0,1.0,0.0,0.0,4.0
42.69,13.6,6,0.0,0.0,0.0,0.0,0.0,4.0
10.19,18.1,5,0.0,2.0,0.0,1.0,0.0,2.0
27.71,21.6,6,0.0,2.0,0.0,1.0,1.0,3.0
24.61,18.9,6,1.0,2.0,0.0,0.0,1.0,4.0
35.76,24.7,4,0.0,0.0,0.0,1.0,0.0,3.0
32.01,15.1,7,2.0,2.0,1.0,1.0,1.0,1.0
16.53,22.8,6,2.0,0.0,0.0,1.0,1.0,1.0
21.18,19.8,4,1.0,1.0,0.0,0.0,2.0,2.0
10.7,22.3,6,2.0,1.0,0.0,0.0,1.0,0.0
32.44,20.9,7,0.0,0.0,0.0,1.0,1.0,1.0
20.98,11.1,6,2.0,1.0,1.0,0.0,0.0,2.0
29.28,11.7,5,0.0,2.0,0.0,0.0,0.0,3.0
13.18,12.8,6,2.0,0.0,0.0,1.0,2.0,4.0
43.4,19.2,5,2.0,1.0,0.0,1.0,0.0,4.0
31.61,12.3,7,2.0,2.0,0.0,0.0,2.0,1.0
40.44,22.1,5,1.0,1.0,1.0,0.0,0.0,2.0
37.58,20.9,4,1.0,0.0,1.0,1.0,1.0,1.0
18.38,15.0,6,1.0,1.0,1.0,0.0,1.0,2.0
28.29,12.1,5,2.0,0.0,1.0,1.0,1.0,2.0
23.7,12.8,6,2.0,2.0,0.0,1.0,1.0,2.0
42.79,20.9,4,0.0,1.0,1.0,1.0,2.0,4.0
9.36,24.1,6,2.0,1.0,0.0,1.0,1.0,2.0
4.79,18.7,7,1.0,2.0,0.0,1.0,1.0,4.0
34.48,22.6,4,0.0,2.0,0.0,0.0,2.0,1.0
5.5,21.3,6,0.0,2.0,1.0,0.0,0.0,2.0
7.32,18.4,4,1.0,1.0,0.0,0.0,0.0,4.0
42.04,20.4,4,1.0,1.0,1.0,0.0,1.0,3.0
23.7,12.8,6,2.0,2.0,0.0,1.0,1.0,2.0
20.85,14.5,4,1.0,0.0,0.0,0.0,2.0,4.0
4.92,11.4,5,2.0,0.0,0.0,0.0,0.0,4.0
31.02,17.6,5,0.0,2.0,1.0,1.0,1.0,0.0
22.51,22.1,4,1.0,1.0,1.0,1.0,1.0,3.0
11.3,16.6,6,2.0,0.0,0.0,0.0,2.0,0.0
24.38,20.2,4,1.0,1.0,1.0,1.0,1.0,2.0
17.08,13.8,7,0.0,1.0,0.0,1.0,0.0,0.0
27.2,14.7,7,2.0,1.0,1.0,1.0,0.0,2.0
29.68,17.8,4,2.0,1.0,1.0,0.0,2.0,4.0
17.26,10.8,7,2.0,2.0,1.0,0.0,1.0,2.0
12.22,17.8,4,0.0,2.0,1.0,1.0,1.0,0.0
43.26,23.6,6,2.0,2.0,0.0,0.0,1.0,0.0
21.12,17.0,6,2.0,2.0,1.0,0.0,2.0,2.0
28.67,11.7,4,1.0,2.0,0.0,1.0,0.0,2.0
10.87,13.3,7,0.0,0.0,0.0,0.0,1.0,4.0
18.55,14.8,4,2.0,2.0,0.0,0.0,2.0,4.0
17.08,13.8,7,0.0,1.0,0.0,1.0,0.0,0.0
42.01,20.5,6,2.0,1.0,0.0,0.0,1.0,1.0
4.79,18.7,7,1.0,2.0,0.0,1.0,1.0,4.0
34.24,22.0,4,1.0,0.0,0.0,0.0,0.0,2.0
10.89,23.6,5,1.0,2.0,1.0,0.0,0.0,4.0
6.78,21.5,7,2.0,0.0,1.0,0.0,0.0,1.0
28.86,17.4,4,1.0,0.0,1.0,0.0,1.0,0.0
16.78,11.9,4,0.0,2.0,1.0,1.0,2.0,4.0
9.84,19.5,7,2.0,1.0,0.0,1.0,1.0,3.0
16.6,24.4,6,2.0,1.0,1.0,0.0,1.0,3.0
29.94,10.5,7,2.0,0.0,0.0,1.0,2.0,0.0
44.88,23.7,7,0.0,2.0,1.0,0.0,1.0,0.0
31.55,23.1,6,2.0,1.0,0.0,0.0,0.0,3.0
13.43,10.7,6,0.0,0.0,1.0,0.0,2.0,1.0
27.16,22.6,4,1.0,0.0,0.0,1.0,1.0,3.0
15.96,17.7,6,1.0,0.0,1.0,1.0,0.0,1.0
5.93,16.3,7,2.0,2.0,0.0,1.0,0.0,1.0
5.11,14.5,4,0.0,2.0,0.0,0.0,1.0,2.0
5.93,16.3,7,2.0,2.0,0.0,1.0,0.0,1.0
39.59,20.7,7,0.0,2.0,1.0,1.0,2.0,3.0
24.45,11.1,7,0.0,0.0,0.0,1.0,2.0,1.0
12.55,12.0,6,0.0,2.0,1.0,1.0,2.0,2.0
21.88,20.8,5,2.0,1.0,0.0,0.0,2.0,3.0
30.83,23.1,4,1.0,0.0,0.0,1.0,0.0,1.0
36.01,15.2,7,1.0,1.0,1.0,1.0,1.0,4.0
22.34,19.9,7,2.0,0.0,0.0,1.0,2.0,1.0
32.27,17.7,4,0.0,2.0,1.0,1.0,0.0,4.0
15.16,19.2,6,2.0,2.0,1.0,1.0,1.0,2.0
12.44,20.3,4,2.0,2.0,1.0,1.0,0.0,3.0
37.81,22.3,4,0.0,1.0,0.0,0.0,0.0,1.0
44.5,18.8,6,2.0,2.0,0.0,0.0,0.0,1.0
12.86,14.0,4,1.0,0.0,0.0,1.0,1.0,4.0
20.37,24.5,5,2.0,2.0,0.0,0.0,1.0,4.0
13.81,10.4,7,2.0,0.0,1.0,1.0,2.0,3.0
26.22,13.7,6,1.0,1.0,0.0,1.0,1.0,1.0
38.04,22.0,5,1.0,1.0,0.0,1.0,0.0,0.0
38.43,11.2,7,0.0,2.0,1.0,1.0,2.0,3.0
24.38,14.1,6,0.0,2.0,1.0,1.0,1.0,1.0
34.08,13.4,6,0.0,1.0,1.0,1.0,2.0,2.0
17.74,15.3,5,2.0,0.0,1.0,0.0,2.0,1.0
31.58,21.4,5,2.0,0.0,0.0,1.0,1.0,2.0
17.99,24.3,7,2.0,0.0,0.0,0.0,1.0,1.0
41.27,18.4,5,1.0,1.0,1.0,0.0,2.0,1.0
22.19,22.5,5,2.0,1.0,0.0,0.0,2.0,4.0
31.0,15.4,4,2.0,2.0,0.0,1.0,0.0,0.0
11.98,18.2,4,1.0,1.0,0.0,0.0,2.0,2.0
11.87,19.4,6,2.0,0.0,0.0,1.0,2.0,2.0
35.96,22.0,7,0.0,1.0,1.0,1.0,2.0,2.0
10.25,21.4,6,2.0,1.0,1.0,0.0,2.0,2.0
7.6,24.6,6,1.0,0.0,0.0,1.0,1.0,1.0
19.41,17.5,5,1.0,1.0,1.0,0.0,1.0,4.0
29.25,20.8,5,1.0,2.0,1.0,1.0,0.0,0.0
12.74,23.5,5,1.0,0.0,1.0,1.0,0.0,2.0
34.02,13.7,7,0.0,2.0,1.0,0.0,0.0,0.0
13.21,24.7,4,1.0,2.0,0.0,1.0,0.0,2.0
12.55,12.0,6,0.0,2.0,1.0,1.0,2.0,2.0
22.26,14.6,6,2.0,0.0,0.0,0.0,2.0,3.0
29.58,17.1,6,0.0,0.0,0.0,1.0,2.0,0.0
25.31,12.1,4,0.0,2.0,0.0,1.0,1.0,3.0
37.72,15.7,7,0.0,1.0,0.0,1.0,2.0,3.0
16.43,15.5,4,0.0,1.0,0.0,1.0,0.0,3.0
20.3,14.5,4,2.0,2.0,0.0,0.0,1.0,1.0
32.59,24.5,5,1.0,2.0,1.0,0.0,2.0,1.0
43.77,18.3,5,0.0,0.0,0.0,0.0,0.0,2.0
14.44,16.7,4,2.0,0.0,1.0,0.0,1.0,4.0
7.16,19.1,4,2.0,1.0,0.0,1.0,1.0,0.0
7.12,23.4,7,1.0,0.0,1.0,0.0,2.0,2.0
8.27,21.4,6,2.0,0.0,0.0,0.0,0.0,1.0
15.16,19.2,6,2.0,2.0,1.0,1.0,1.0,2.0
7.75,16.6,7,0.0,2.0,0.0,1.0,2.0,3.0
29.36,11.5,7,0.0,2.0,0.0,1.0,0.0,2.0
21.0,13.6,4,0.0,1.0,0.0,1.0,0.0,3.0
29.25,20.8,5,1.0,2.0,1.0,1.0,0.0,0.0
18.19,14.0,4,2.0,0.0,1.0,0.0,1.0,1.0
36.0,10.8,5,0.0,2.0,1.0,0.0,1.0,3.0
33.06,16.9,6,0.0,1.0,0.0,1.0,0.0,3.0
28.92,22.7,6,2.0,0.0,1.0,0.0,2.0,2.0
23.52,13.6,5,0.0,0.0,0.0,1.0,1.0,3.0
7.37,18.5,4,2.0,2.0,1.0,0.0,0.0,3.0
20.98,11.1,6,2.0,1.0,1.0,0.0,0.0,2.0
13.03,17.9,6,1.0,0.0,0.0,0.0,0.0,1.0
7.65,10.7,6,2.0,2.0,0.0,1.0,2.0,1.0
21.47,24.4,4,0.0,0.0,1.0,1.0,1.0,3.0
13.04,18.7,5,1.0,1.0,0.0,1.0,1.0,0.0
26.22,13.7,6,1.0,1.0,0.0,1.0,1.0,1.0
15.68,13.2,6,2.0,1.0,1.0,1.0,1.0,4.0
42.5,12.5,4,0.0,0.0,0.0,1.0,0.0,3.0
35.54,12.9,4,2.0,0.0,1.0,0.0,0.0,1.0
23.65,21.5,6,1.0,1.0,1.0,1.0,1.0,2.0
42.21,14.6,6,1.0,2.0,1.0,1.0,1.0,1.0
18.19,14.0,4,2.0,0.0,1.0,0.0,1.0,1.0
28.29,12.1,5,2.0,0.0,1.0,1.0,1.0,2.0
42.4,24.5,5,0.0,0.0,1.0,1.0,1.0,3.0
25.55,19.1,7,1.0,2.0,1.0,1.0,2.0,1.0
39.81,11.8,5,0.0,2.0,0.0,1.0,1.0,2.0
7.01,12.5,6,1.0,2.0,0.0,0.0,2.0,4.0
39.83,14.9,7,1.0,1.0,1.0,1.0,1.0,3.0
4.86,12.4,7,2.0,1.0,1.0,1.0,1.0,4.0
35.2,20.4,7,2.0,1.0,1.0,0.0,2.0,3.0
6.47,20.4,4,2.0,2.0,1.0,1.0,1.0,2.0
36.61,12.5,5,2.0,2.0,0.0,0.0,1.0,0.0
27.78,12.3,7,2.0,2.0,0.0,1.0,1.0,3.0
21.47,21.3,6,2.0,0.0,1.0,1.0,2.0,0.0
35.2,22.8,5,2.0,1.0,0.0,0.0,1.0,2.0
27.05,16.5,5,1.0,0.0,0.0,0.0,2.0,2.0
9.61,11.0,7,2.0,0.0,1.0,0.0,0.0,4.0
34.24,23.6,5,2.0,1.0,1.0,0.0,0.0,3.0
15.16,19.2,6,2.0,2.0,1.0,1.0,1.0,2.0
38.61,15.5,6,2.0,0.0,0.0,1.0,0.0,2.0
32.5,24.6,4,2.0,1.0,1.0,0.0,1.0,2.0
16.19,18.4,7,2.0,0.0,1.0,0.0,1.0,2.0
9.78,18.7,6,1.0,0.0,0.0,1.0,0.0,4.0
24.38,20.2,4,1.0,1.0,1.0,1.0,1.0,2.0
7.26,17.5,7,2.0,2.0,0.0,0.0,2.0,1.0
30.7,23.2,7,2.0,1.0,0.0,1.0,1.0,1.0
14.65,22.8,4,0.0,1.0,1.0,1.0,2.0,3.0
44.33,22.7,7,1.0,1.0,0.0,1.0,1.0,4.0
11.24,21.9,5,2.0,0.0,1.0,0.0,1.0,4.0
25.55,19.1,7,1.0,2.0,1.0,1.0,2.0,1.0
23.0,23.0,5,2.0,2.0,0.0,1.0,2.0,1.0
12.55,12.0,6,0.0,2.0,1.0,1.0,2.0,2.0
38.43,11.2,7,0.0,2.0,1.0,1.0,2.0,3.0
33.72,12.3,6,0.0,1.0,0.0,1.0,1.0,2.0
5.98,13.0,4,2.0,0.0,0.0,0.0,0.0,3.0
4.75,14.0,7,2.0,2.0,1.0,1.0,1.0,1.0
39.35,24.5,6,1.0,1.0,1.0,0.0,1.0,2.0
21.18,19.8,4,1.0,1.0,0.0,0.0,2.0,2.0
44.92,22.7,7,0.0,2.0,0.0,1.0,0.0,2.0
18.77,10.8,4,0.0,1.0,1.0,1.0,0.0,0.0
18.58,18.8,4,0.0,0.0,0.0,1.0,2.0,1.0
9.61,11.0,7,2.0,0.0,1.0,0.0,0.0,4.0
25.31,12.1,4,0.0,2.0,0.0,1.0,1.0,3.0
6.37,19.7,7,1.0,0.0,0.0,0.0,0.0,4.0
35.8,21.6,6,2.0,2.0,0.0,0.0,1.0,4.0
12.95,24.8,6,2.0,2.0,1.0,1.0,2.0,3.0
21.94,12.5,5,0.0,1.0,1.0,1.0,2.0,0.0
23.35,16.9,6,2.0,1.0,0.0,1.0,2.0,1.0
14.75,24.1,4,1.0,2.0,1.0,1.0,2.0,4.0
25.25,24.9,7,1.0,0.0,1.0,0.0,2.0,2.0
13.74,20.9,6,0.0,1.0,1.0,1.0,0.0,3.0
28.31,22.0,6,0.0,1.0,0.0,0.0,2.0,4.0
28.47,22.6,7,1.0,0.0,0.0,0.0,2.0,0.0
5.52,13.0,4,2.0,1.0,0.0,1.0,0.0,4.0
29.4,18.7,7,1.0,2.0,1.0,0.0,2.0,1.0
29.57,19.7,5,2.0,0.0,1.0,1.0,2.0,2.0
33.74,23.1,6,0.0,2.0,1.0,1.0,0.0,2.0
23.92,22.1,4,2.0,1.0,0.0,0.0,2.0,1.0
38.36,12.9,6,0.0,0.0,1.0,0.0,1.0,1.0
32.27,17.7,4,0.0,2.0,1.0,1.0,0.0,4.0
27.05,16.5,5,1.0,0.0,0.0,0.0,2.0,2.0
27.8,23.9,4,1.0,1.0,1.0,0.0,1.0,4.0
14.1,16.6,5,2.0,2.0,1.0,0.0,1.0,4.0
18.01,15.5,6,1.0,1.0,1.0,0.0,0.0,2.0
18.38,20.0,7,0.0,2.0,0.0,1.0,2.0,3.0
39.98,19.2,7,0.0,1.0,1.0,1.0,2.0,2.0
9.61,16.6,6,2.0,2.0,1.0,0.0,0.0,0.0
9.83,23.5,4,2.0,1.0,0.0,0.0,0.0,2.0
14.44,16.7,4,2.0,0.0,1.0,0.0,1.0,4.0
28.62,11.3,7,1.0,2.0,1.0,0.0,2.0,1.0
30.76,10.1,4,1.0,0.0,0.0,1.0,2.0,3.0
