Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
8.27,21.4,6,2.0,0.0,0.0,0.0,,1.0
24.37,16.7,7,0.0,1.0,1.0,1.0,,1.0
22.84,11.1,4,2.0,0.0,0.0,0.0,,4.0
23.52,10.4,4,2.0,2.0,0.0,1.0,,0.0
29.73,18.2,6,1.0,2.0,0.0,0.0,,3.0
13.43,17.0,4,2.0,2.0,0.0,0.0,,2.0
6.92,24.7,6,0.0,1.0,0.0,0.0,,1.0
31.89,15.5,7,1.0,2.0,1.0,1.0,,2.0
41.41,10.2,5,0.0,1.0,0.0,0.0,,4.0
30.32,19.1,4,0.0,0.0,1.0,1.0,,3.0
6.47,16.2,6,1.0,0.0,1.0,0.0,,4.0
18.36,15.9,4,2.0,2.0,1.0,1.0,,0.0
7.51,14.3,5,2.0,0.0,0.0,0.0,,3.0
26.14,10.9,4,0.0,1.0,1.0,0.0,,2.0
10.4,18.1,4,0.0,1.0,1.0,0.0,,3.0
8.98,21.7,4,0.0,0.0,1.0,0.0,,0.0
27.39,15.2,4,1.0,0.0,0.0,1.0,,2.0
20.58,20.2,5,0.0,1.0,0.0,1.0,,1.0
4.2,11.7,5,1.0,0.0,1.0,1.0,,3.0
9.74,16.2,5,0.0,2.0,1.0,0.0,,4.0
28.92,22.7,6,2.0,0.0,1.0,0.0,,2.0
25.74,22.7,7,0.0,1.0,0.0,0.0,,1.0
39.33,12.0,7,0.0,0.0,0.0,0.0,,4.0
16.93,16.5,4,0.0,2.0,1.0,1.0,,1.0
40.04,23.6,5,2.0,1.0,0.0,0.0,,2.0
40.08,22.6,5,1.0,2.0,1.0,1.0,,0.0
18.58,18.8,4,0.0,0.0,0.0,1.0,,1.0
41.75,19.0,5,1.0,0.0,1.0,1.0,,4.0
5.33,22.5,7,2.0,2.0,0.0,0.0,,0.0
27.71,21.6,6,0.0,2.0,0.0,1.0,,3.0
18.02,13.2,5,2.0,2.0,1.0,0.0,,3.0
18.18,20.2,4,1.0,1.0,0.0,0.0,,2.0
35.31,15.9,4,0.0,1.0,1.0,1.0,,1.0
6.34,10.4,6,1.0,2.0,1.0,0.0,,2.0
32.02,14.2,5,1.0,0.0,1.0,0.0,,1.0
29.29,20.3,7,0.0,1.0,1.0,1.0,,1.0
5.33,22.5,7,2.0,2.0,0.0,0.0,,0.0
18.25,20.6,5,0.0,0.0,0.0,1.0,,2.0
25.28,17.7,6,1.0,1.0,1.0,0.0,,2.0
21.86,21.9,7,1.0,2.0,0.0,0.0,,4.0
9.28,19.3,6,2.0,0.0,1.0,0.0,,1.0
29.59,24.9,6,1.0,0.0,0.0,1.0,,2.0
4.97,24.7,5,1.0,0.0,0.0,1.0,,3.0
24.8,10.4,5,1.0,0.0,1.0,1.0,,0.0
31.45,11.5,5,0.0,0.0,0.0,0.0,,4.0
32.49,17.7,4,0.0,1.0,0.0,0.0,,2.0
11.13,14.8,7,0.0,2.0,0.0,1.0,,3.0
20.03,22.9,7,1.0,1.0,0.0,1.0,,1.0
31.4,17.4,4,2.0,0.0,1.0,0.0,,0.0
19.11,18.9,7,0.0,0.0,0.0,0.0,,3.0
6.68,13.4,6,2.0,0.0,0.0,0.0,,4.0
24.8,10.4,5,1.0,0.0,1.0,1.0,,0.0
4.31,23.9,5,1.0,2.0,1.0,1.0,,1.0
32.01,15.1,7,2.0,2.0,1.0,1.0,,1.0
5.05,18.6,5,1.0,1.0,1.0,1.0,,1.0
25.11,21.8,4,0.0,2.0,1.0,1.0,,4.0
16.18,15.4,7,1.0,0.0,1.0,0.0,,2.0
44.34,14.5,5,1.0,0.0,1.0,1.0,,3.0
27.05,16.5,5,1.0,0.0,0.0,0.0,,2.0
25.95,15.8,7,2.0,0.0,0.0,1.0,,1.0
42.17,12.1,4,1.0,0.0,0.0,0.0,,1.0
41.7,13.2,4,2.0,2.0,1.0,0.0,,0.0
13.32,21.4,6,0.0,1.0,0.0,0.0,,0.0
20.3,14.5,4,2.0,2.0,0.0,0.0,,1.0
35.84,10.5,7,2.0,1.0,1.0,1.0,,4.0
6.55,14.5,4,2.0,1.0,1.0,0.0,,0.0
27.87,23.6,4,1.0,1.0,0.0,0.0,,1.0
11.59,13.9,5,2.0,2.0,0.0,0.0,,0.0
5.09,10.1,7,2.0,0.0,0.0,0.0,,1.0
5.2,21.2,7,1.0,2.0,1.0,0.0,,2.0
31.02,17.6,5,0.0,2.0,1.0,1.0,,0.0
39.6,16.8,4,2.0,2.0,1.0,1.0,,4.0
32.02,14.2,5,1.0,0.0,1.0,0.0,,1.0
13.62,20.0,6,2.0,2.0,0.0,0.0,,2.0
43.81,10.8,6,2.0,0.0,0.0,1.0,,2.0
26.45,17.4,4,2.0,2.0,0.0,0.0,,2.0
9.0,22.5,4,1.0,2.0,0.0,0.0,,3.0
10.25,21.4,6,2.0,1.0,1.0,0.0,,2.0
26.32,24.2,7,2.0,1.0,0.0,1.0,,4.0
20.09,18.9,6,1.0,0.0,1.0,0.0,,0.0
8.27,17.8,6,1.0,0.0,0.0,0.0,,1.0
6.55,14.5,4,2.0,1.0,1.0,0.0,,0.0
23.35,16.9,6,2.0,1.0,0.0,1.0,,1.0
27.86,16.5,4,0.0,0.0,1.0,1.0,,3.0
29.28,11.7,5,0.0,2.0,0.0,0.0,,3.0
15.77,14.9,5,1.0,0.0,0.0,0.0,,0.0
26.02,23.4,5,0.0,1.0,1.0,0.0,,4.0
30.4,17.6,7,0.0,0.0,0.0,0.0,,4.0
20.58,20.2,5,0.0,1.0,0.0,1.0,,1.0
29.59,24.9,6,1.0,0.0,0.0,1.0,,2.0
11.13,14.8,7,0.0,2.0,0.0,1.0,,3.0
19.11,18.9,7,0.0,0.0,0.0,0.0,,3.0
25.14,23.2,5,1.0,1.0,0.0,0.0,,2.0
12.64,16.3,7,1.0,1.0,1.0,1.0,,3.0
28.62,17.1,6,0.0,2.0,0.0,1.0,,2.0
42.71,16.3,5,2.0,2.0,1.0,0.0,,1.0
5.71,16.6,5,1.0,2.0,1.0,1.0,,4.0
26.95,24.1,4,2.0,2.0,0.0,0.0,,3.0
42.79,20.9,4,0.0,1.0,1.0,1.0,,4.0
42.15,19.8,4,1.0,0.0,0.0,1.0,,3.0
40.0,15.9,4,0.0,2.0,1.0,1.0,,0.0
42.79,20.9,4,0.0,1.0,1.0,1.0,,4.0
26.56,16.1,5,1.0,0.0,1.0,1.0,,4.0
28.49,16.5,6,1.0,1.0,0.0,0.0,,2.0
17.08,13.8,7,0.0,1.0,0.0,1.0,,0.0
12.46,21.8,4,2.0,2.0,1.0,1.0,,3.0
31.89,22.4,7,0.0,2.0,1.0,0.0,,2.0
43.6,17.8,4,1.0,0.0,1.0,0.0,,4.0
29.02,22.4,6,0.0,0.0,0.0,1.0,,0.0
35.97,14.2,6,2.0,0.0,1.0,0.0,,2.0
40.93,23.5,7,0.0,0.0,1.0,0.0,,0.0
32.98,19.6,6,1.0,0.0,0.0,1.0,,2.0
31.37,23.0,6,2.0,0.0,0.0,0.0,,1.0
30.66,15.8,4,2.0,0.0,1.0,1.0,,1.0
